Defense,Offense,Text
Army,Air Force,"AIR FORCE Penalty, unsportsmanlike conduct off-setting ( Yards) to the AFA 25"
Akron,UMass,"Marquis Young run for 14 yds to the UMass 39 for a 1ST down AKRON Penalty, unsportsmanlike conduct off-setting ( Yards) to the UMass 39 for a 1ST down"
Appalachian State,Akron,"Thomas Woodson run for 13 yds to the Akron 49 for a 1ST down AKRON Penalty, personal foul off-setting ( Yards) to the Akron 49 for a 1ST down"
Bowling Green,Akron,"Manny Morgan run for 3 yds to the BwGrn 30 BOWLING GREEN Penalty, unsportsmanlike conduct off-setting ( Yards) to the BwGrn 30"
Akron,Kent State,"Shane Hynes kickoff for 62 yds , Van Edwards Jr. return for 26 yds to the AKRON 39 KENT ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the Akron 29"
Troy,Akron,"Kato Nelson pass complete to Nate Stewart for 7 yds to the Akron 23 TROY Penalty, personal foul off-setting ( Yards) to the Akron 23"
Akron,Bowling Green,"Bryson Denley run for a loss of 3 yards to the BwGrn 36 AKRON Penalty, unsportsmanlike conduct off-setting ( Yards) to the BwGrn 36"
Ohio,Akron,"Jerry Fitschen kickoff for 40 yds , Ben Johnson return for 27 yds to the OHIO 38 OHIO Penalty, face mask off-setting ( Yards) to the Akron 48"
Alabama,Florida,"ALABAMA Penalty, Unnecessary Roughness (Cyrus Jones), FLORIDA Penalty, Unnecessary Roughness (Demarcus Robinson) offsetting."
South Alabama,Appalachian State,"Taylor Lamb run for 1 yd to the AppSt 12 APPALACHIAN ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the AppSt 12"
Troy,Appalachian State,"Marcus Cox run for 18 yds to the Troy 3 for a 1ST down TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 3 for a 1ST down"
Appalachian State,Idaho,"Matt Linehan pass complete to Jante Boston for 12 yds to the Idaho 39 for a 1ST down IDAHO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Idaho 39 for a 1ST down"
Appalachian State,South Alabama,"Xavier Johnson run for 6 yds to the AppSt 6 for a 1ST down SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the AppSt 6 for a 1ST down"
Coastal Carolina,Appalachian State,"Taylor Lamb pass incomplete APPALACHIAN ST Penalty, holding off-setting (-13 Yards) to the AppSt 14"
Coastal Carolina,Appalachian State,"Taylor Lamb run for no gain to the CCaro 24 COASTL CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the CCaro 24"
Appalachian State,South Alabama,"Gavin Patterson 28 yd FG BLOCKED blocked by null  Clifton Duck return for 16 yds to the AppSt 0 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the AppSt 45"
South Alabama,Appalachian State,"Marcus Williams Jr. run for 7 yds to the AppSt 25 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the AppSt 25"
South Carolina,Appalachian State,"Malik Williams pass incomplete to Zac Thomas SOUTH CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the SCaro 32"
South Carolina,Appalachian State,"Xavier Subotsch punt for 48 yds , Xavier Legette returns for no gain to the SCaro 44 Xavier Legette fumbled, recovered by SCaro Xavier Legette  SOUTH CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the SCaro 44"
Troy,Appalachian State,"TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 40"
Michigan State,Arizona State,"Michael Turk punt for 51 yds , Cody White returns for 8 yds to the MchSt 40 ARIZONA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the MchSt 25"
Georgia State,Arkansas State,"Michael Gordon run for 11 yds for a TD, (Luke Ferguson KICK) ARKANSAS ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the ArkSt 35"
Arkansas State,Texas State,"Marcus Ripley punt for 37 yds, downed at the TEXSTATE 25 TEXAS STATE Penalty, unsportsmanlike conduct off-setting ( Yards) to the ArkSt 25"
Arkansas State,South Alabama,"Cole Garvin pass complete to Jamarius Way for 24 yds to the ArkSt 1 for a 1ST down ARKANSAS ST Penalty, personal foul off-setting ( Yards) to the ArkSt 1 for a 1ST down"
Arkansas State,South Alabama,"Cole Garvin pass complete to Andrew Reinkemeyer for 5 yds to the SAlab 30 for a 1ST down ARKANSAS ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SAlab 30 for a 1ST down"
Troy,Arkansas State,"Justice Hansen run for 2 yds to the Troy 9 TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 9"
Coastal Carolina,Arkansas State,"Justice Hansen pass complete to Warren Wand for 20 yds for a TD COASTL CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the CCaro 3 (Blake Grupe KICK)"
Troy,Arkansas State,"Jamal Jones run for 5 yds to the Troy 13 ARKANSAS ST Penalty, personal foul off-setting ( Yards) to the Troy 13"
Georgia State,Arkansas State,"Layne Hatcher sacked by Dontae Wilson for a loss of 4 yards to the GeoSt 27 GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 27"
Texas State,Arkansas State,"Layne Hatcher pass complete to Brandon Bowling for no gain to the TexSt 48 TEXAS STATE Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexSt 48"
Arkansas State,Coastal Carolina,"Reese White run for 1 yd to the ArkSt 27 ARKANSAS ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the ArkSt 27"
South Alabama,Arkansas State,"Marcel Murray run for a loss of 2 yards to the SAlab 44 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the SAlab 44"
Arkansas,Auburn,"Kevin Phillips punt for 35 yds, downed at the ARKANSAS 40 AUBURN Penalty, unsportsmanlike conduct off-setting ( Yards) to the Ark 40"
Ole Miss,Arkansas,"Cole Kelley pass intercepted Javien Hamilton return for 15 yds to the Miss 19 ARKANSAS Penalty, unsportsmanlike conduct off-setting ( Yards) to the Miss 29"
Kentucky,Auburn,"Peyton Barber run for 12 yds to the Kent 16 for a 1ST down KENTUCKY Penalty, personal foul off-setting ( Yards) to the Kent 16 for a 1ST down"
Missouri,Auburn,"Malik Willis run for 9 yds to the Aub 32 for a 1ST down MISSOURI Penalty, unsportsmanlike conduct off-setting ( Yards) to the Aub 32 for a 1ST down"
Ball State,Eastern Michigan,"Ian Eriksen run for 7 yds to the BalSt 38 BALL ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the BalSt 38"
Ball State,Northern Illinois,"BALL ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the NoIll 42"
Eastern Michigan,Ball State,"Riley Neal pass incomplete to Justin Hall BALL ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the BalSt 10"
Central Michigan,Ball State,"Drew Plitt pass complete to Justin Hall for 8 yds to the CMich 23 CENTRAL MICH Penalty, unsportsmanlike conduct off-setting ( Yards) to the CMich 23"
Ball State,Central Michigan,"Quinten Dormady pass complete to JaCorey Sullivan for 15 yds to the BalSt 42 for a 1ST down BALL ST Penalty, face mask off-setting (15 Yards) to the BalSt 43 for a 1ST down"
Miami (OH),Ball State,"Caleb Huntley run for 3 yds to the BalSt 38 BALL ST Penalty, personal foul off-setting ( Yards) to the BalSt 38"
Baylor,Iowa State,"David Montgomery run for 1 yd to the Bayl 32 BAYLOR Penalty, unsportsmanlike conduct off-setting ( Yards) to the Bayl 32"
Boston College,Pittsburgh,"Kenny Pickett run for 3 yds to the Pitt 43 PITTSBURGH Penalty, unsportsmanlike conduct off-setting ( Yards) to the Pitt 43"
UMass,Bowling Green,"Travis Greene run for 3 yds to the BwGrn 27 BOWLING GREEN Penalty, unsportsmanlike conduct off-setting ( Yards) to the BwGrn 27"
Buffalo,Bowling Green,"Anthony Farinella kickoff for 65 yds , Devin Campbell return for 26 yds to the BOWLGREEN 39 BOWLING GREEN Penalty, unsportsmanlike conduct off-setting ( Yards) to the Buff 26"
Ohio,Bowling Green,"OHIO Penalty, unsportsmanlike conduct off-setting ( Yards) to the BwGrn 35"
Buffalo,Bowling Green,"Fred Coppet run for 52 yds for a TD BUFFALO Penalty, personal foul off-setting ( Yards) to the Buff 0, (Jake Suder KICK)"
Kent State,Bowling Green,"Josh Cleveland run for 1 yd to the KntSt 25 KENT ST Penalty, personal foul off-setting ( Yards) to the KntSt 25"
Kent State,Bowling Green,"KENT ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the BwGrn 35"
Kent State,Buffalo,"Tyree Jackson pass incomplete to Marcus McGill, broken up by Najee Murray BUFFALO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Buff 17"
Buffalo,Miami (OH),"Kyle Kramer punt for 55 yds , Jamarl Eiland returns for 4 yds to the Buff 43 BUFFALO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Buff 10"
Eastern Michigan,Buffalo,"Kevin Marks run for 4 yds to the Buff 31 for a 1ST down EASTRN MICHIGAN Penalty, unsportsmanlike conduct off-setting ( Yards) to the Buff 31 for a 1ST down"
USC,California,"Matt Anderson kickoff for 61 yds , Justin Davis return for 29 yds to the CALIFORNIA 36 CALIFORNIA Penalty, unsportsmanlike conduct off-setting ( Yards) to the USC 33"
Utah,California,"Spencer Brasch pass incomplete to Jordan Duncan UTAH Penalty, personal foul off-setting ( Yards) to the Cal 41"
Northern Illinois,Central Michigan,"Cooper Rush pass complete to Joe Bacci for 16 yds to the NoIll 11 for a 1ST down NORTHERNIL Penalty, unsportsmanlike conduct off-setting ( Yards) to the NoIll 11 for a 1ST down"
Central Michigan,Western Michigan,"Zach Terrell pass intercepted Tyree Waller return for no gain to the CMich 27 WESTRN MICHIGAN Penalty, unsportsmanlike conduct off-setting ( Yards) to the 50 yard line"
Central Michigan,Syracuse,"Devante McFarlane run for 5 yds to the Syrac 44 CENTRAL MICH Penalty, unsportsmanlike conduct off-setting ( Yards) to the Syrac 44"
Central Michigan,Western Michigan,"Zach Terrell pass complete to Daniel Braverman for 43 yds for a TD, (Andrew Haldeman KICK) WESTRN MICHIGAN Penalty, personal foul off-setting ( Yards) to the WMich 35"
Eastern Michigan,Central Michigan,"Jonathan Ward run for 3 yds to the CMich 37 EASTRN MICHIGAN Penalty, unsportsmanlike conduct off-setting ( Yards) to the CMich 37"
Central Michigan,Missouri,", score nullified by penalty. PENALTY MIZ Holding on #31 D.Smith CMU Pass Interference on #25 D.McNary , Offsetting penalties [NHSG]. NO PLAY (replay the down)."
Florida International,Charlotte,"Hasaan Klugh pass complete to Workpeh Kofa for 5 yds to the FlaIn 35 CHARLOTTE Penalty, unsportsmanlike conduct off-setting ( Yards) to the FlaIn 35"
Charlotte,North Carolina A&T,"NC A&T Penalty, unsportsmanlike conduct off-setting ( Yards) to the Charl 1"
Old Dominion,Charlotte,"Benny LeMay run for no gain to the ODU 19 OLDDOMINION Penalty, unsportsmanlike conduct off-setting ( Yards) to the ODU 19"
Marshall,Charlotte,"MARSHALL Penalty, unsportsmanlike conduct off-setting ( Yards) to the Marsh 47"
Old Dominion,Charlotte,"CHARLOTTE Penalty, unsportsmanlike conduct off-setting ( Yards) to the ODU 24"
Western Kentucky,Charlotte,"WESTRN KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Charl 25"
Cincinnati,SMU,"Cody Rademacher kickoff for 64 yds , Johnny Holton return for 16 yds to the Cincy 46 CINCINNATI Penalty, illegal block off-setting (NA) to the Cincy 12"
Cincinnati,Temple,"Isaiah Wright run for no gain to the Cincy 5 CINCINNATI Penalty, personal foul off-setting ( Yards) to the Cincy 5"
South Florida,Cincinnati,"Ross Trail pass complete to Josiah Deguara for 10 yds to the Cincy 35 SOUTH FLORIDA Penalty, personal foul off-setting ( Yards) to the Cincy 35"
SMU,Cincinnati,"Hayden Moore run for 9 yds to the Cincy 37 SMU Penalty, unsportsmanlike conduct off-setting ( Yards) to the Cincy 37"
Cincinnati,East Carolina,"Gardner Minshew pass incomplete to Trevon Brown CINCINNATI Penalty, personal foul off-setting ( Yards) to the ECaro 37"
Ohio,Cincinnati,"Michael Warren II run for 3 yds for a TD OHIO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Ohio 0 (Two-Point Conversion failed)"
Cincinnati,Connecticut,"CONNECTICUT Penalty, unsportsmanlike conduct off-setting ( Yards) to the UConn 49"
Cincinnati,Miami (OH),"Brett Gabbert sacked by Bryan Wright for a loss of 13 yards to the Cincy 27 Brett Gabbert fumbled, recovered by Cincy Myjai Sanders , return for 0 yards MIAMI OH Penalty, unsportsmanlike conduct off-setting ( Yards) to the Cincy 27"
Troy,Coastal Carolina,"Kilton Anderson sacked by Hunter Reese for a loss of 2 yards to the CCaro 48 TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the CCaro 48"
Coastal Carolina,Georgia Southern,"L.A. Ramsby run for 5 yds to the CCaro 10 COASTL CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the CCaro 10"
Georgia Southern,Coastal Carolina,"Osharmar Abercrombie run for 1 yd for a TD GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSo 0, (Evan Rabon KICK)"
Georgia Southern,Coastal Carolina,"Osharmar Abercrombie run for 7 yds to the CCaro 34 for a 1ST down GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the CCaro 34 for a 1ST down"
Georgia Southern,Coastal Carolina,"Bryce Carpenter run for 12 yds to the GeoSo 30 for a 1ST down GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSo 30 for a 1ST down"
Colorado State,Nevada,"COLORADO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the ColSt 12"
Minnesota,Colorado State,"Braxton Davis kickoff for 65 yds , Jalen Myrick return for 26 yds to the COLOST 39 MINNESOTA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Minn 26"
Colorado State,Florida,"Feleipe Franks run for 4 yds to the ColSt 7 COLORADO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the ColSt 7"
San Diego State,Colorado State,"Patrick O'Brien pass complete to Dante Wright for 1 yd to the SDSt 25 SAN DIEGO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SDSt 25"
South Florida,Connecticut,"Noah Iden kickoff for 9 yds , Trevon Sands return for no gain to the UConn 30 CONNECTICUT Penalty, unsportsmanlike conduct off-setting ( Yards) to the UConn 39"
Duke,NC State,"DUKE Penalty, holding off-setting ( Yards) to the NCSt 25"
East Carolina,Temple,"Logan Marchi pass complete to David Hood for 8 yds to the Temp 49 TEMPLE Penalty, personal foul off-setting ( Yards) to the Temp 49"
East Carolina,North Carolina,"Jordon Brown run for 6 yds to the NCaro 15 EAST CAROLINA Penalty, face mask off-setting ( Yards) to the NCaro 15"
East Carolina,Temple,"Jager Gardner run for no gain to the ECaro 1 EAST CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the ECaro 1"
East Carolina,Tulane,"Darius Bradwell run for 3 yds to the Tulan 48 EAST CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tulan 48"
Tulsa,East Carolina,"TULSA Penalty, unsportsmanlike conduct off-setting ( Yards) to the ECaro 24"
East Carolina,SMU,"Chris Naggar punt for 51 yds , Tyler Snead returns for 36 yds to the EASTCRLINA 49 SMU Penalty, sideline interference off-setting ( Yards) to the SMU 30"
Old Dominion,Eastern Michigan,"Austin Barnes punt for 41 yds, punt out-of-bounds at the EMich 49 OLDDOMINION Penalty, kick catching interference off-setting ( Yards) to the EMich 49"
Northern Illinois,Eastern Michigan,"NORTHERNIL Penalty, personal foul off-setting (NA) to the EMich 28"
Eastern Michigan,Kent State,"Kavious Price pass intercepted Vince Calhoun return for 46 yds to the KntSt 0 KENT ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the KntSt 44"
Eastern Michigan,Central Connecticut,"Enyce Walker run for 1 yd for a TD EASTRN MICHIGAN Penalty, unsportsmanlike conduct off-setting ( Yards) to the EMich 0, (Aaron Winchester pass  to Arthur Gilmore Jr. for Two-Point Conversion)"
Eastern Michigan,Central Connecticut,"TEAM punt blocked by Mathew Sexton blocked by Mathew Sexton  Mathew Sexton return for 30 yds for a TD CENTRAL CONN Penalty, unsportsmanlike conduct off-setting ( Yards) to the CConn 0, (Two-Point Conversion failed )"
Eastern Michigan,Toledo,"Thomas Cluckey punt for 36 yds, downed at the TOLEDO 30 EASTRN MICHIGAN Penalty, unsportsmanlike conduct off-setting ( Yards) to the EMich 30"
Western Michigan,Eastern Michigan,"EASTRN MICHIGAN Penalty, personal foul off-setting ( Yards) to the WMich 13"
Florida International,Middle Tennessee,"John Urzua pass complete to Ruben Garnett for 14 yds to the MIDDLETENN 38 for a 1ST down MIDDLE TENN Penalty, personal foul off-setting ( Yards) to the FlaIn 38 for a 1ST down"
Florida International,Western Kentucky,"Steven Duncan run for 1 yd for a TD FLORIDA INTL Penalty, unsportsmanlike conduct off-setting ( Yards) to the FlaIn 0 (Two-Point Conversion failed )"
Western Kentucky,Florida International,"Tommy Heatherly punt for 52 yds, fair catch by Clayton Bush at the FLAINTL 15 FLORIDA INTL Penalty, unsportsmanlike conduct off-setting ( Yards) to the WKent 15"
Chattanooga,Florida State,"Jacques Patrick run for 5 yds to the Chatt 22 for a 1ST down CHATTANOOGA Penalty, personal foul off-setting ( Yards) to the Chatt 22 for a 1ST down"
Florida,Florida State,"Cam Akers run for 8 yds to the FlaSt 28 FLORIDA Penalty, unsportsmanlike conduct off-setting ( Yards) to the FlaSt 28"
Florida State,NC State,"Trent Pennix run for 2 yds to the FlaSt 40 FLORIDA ST Penalty, personal foul off-setting ( Yards) to the FlaSt 40"
Florida,South Carolina,"Landon Ard kickoff for 50 yds , Hunter Joyer return for 7 yds to the Fla 22 Hunter Joyer fumbled, recovered by Fla Hunter Joyer  SOUTH CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Fla 22"
Florida,New Mexico State,"Greg Hutchins punt for 34 yds, punt out-of-bounds at the FLORIDA 44 NEW MEXICO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the Fla 44"
Florida,Kentucky,"FLORIDA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Fla 21"
Texas A&M,Florida,"Malik Davis run for 32 yds to the FLORIDA 46 for a 1ST down TEXAS A&M Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexAM 46 for a 1ST down"
Florida,Missouri,"Kelly Bryant run for no gain to the Misso 33 MISSOURI Penalty, unsportsmanlike conduct off-setting ( Yards) to the Misso 33"
Texas A&M,Florida,"TEXAS A&M Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexAM 37"
Utah,Fresno State,"Garrett Swanson kickoff for 65 yds , Devontae Booker return for 22 yds to the UTAH 43 UTAH Penalty, personal foul off-setting ( Yards) to the Utah 22"
Abilene Christian,Fresno State,"Chason Virgil run for 3 yds to the FrsSt 48 FRESNO ST Penalty, personal foul off-setting ( Yards) to the FrsSt 48"
Utah,Fresno State,"Chason Virgil pass complete to Da'Mari Scott for 7 yds to the Utah 8 UTAH Penalty, unsportsmanlike conduct off-setting ( Yards) to the Utah 8"
San José State,Fresno State,"SAN JOSÉ ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the FrsSt 3"
Fresno State,Utah State,"FRESNO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the FrsSt 49"
San José State,Fresno State,"Marcus McMaryion pass complete to KeeSean Johnson for 5 yds to the SJSt 18 SAN JOSÉ ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SJSt 18"
Georgia Southern,Louisiana Monroe,"Kaylon Watson run for 2 yds to the LaMon 45 UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 45"
Louisiana Monroe,Georgia Southern,"Wesley Fields run for 5 yds to the LaMon 1 GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 1"
Georgia Southern,Texas State,"Lumi Kaba punt for 50 yds, punt out-of-bounds at the GeoSo 28 , Derek Keaton returns for 12 yds to the GeoSo 46 GA SOUTHERN Penalty, personal foul off-setting ( Yards) to the GeoSo 28"
Georgia State,Georgia Southern,"Wesley Fields run for a loss of 1 yard to the GeoSt 29 GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 29"
South Alabama,Georgia Southern,"GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSo 6"
Georgia Southern,Troy,"TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 31"
Georgia Southern,Georgia State,"Tra Barnett run for 5 yds to the GeoSt 30 GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 30"
Georgia State,South Alabama,"Aleem Sunanon kickoff for 62 yds , Avery Sweeting return for 23 yds to the GeoSt 43 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting (NA) to the GeoSt 41"
Georgia State,Troy,"GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 47"
Georgia State,Texas State,"Lumi Kaba punt for 58 yds, punt out-of-bounds at the GEORGIAST 18 GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 18"
Georgia State,Texas State,"GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 40"
Georgia State,Texas State,"Stedman Mayberry run for no gain to the GeoSt 3 GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 3"
Georgia State,Troy,"Brandon Silvers pass incomplete to Jordan Chunn GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 48"
Western Michigan,Georgia State,"GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 25"
Georgia State,South Alabama,"Desmond Trotter run for 9 yds to the GeoSt 30 for a 1ST down SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 30 for a 1ST down"
Georgia State,South Alabama,"Desmond Trotter pass intercepted Tyler Gore return for no gain to the GeoSt 22 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 49"
NC State,Georgia Tech,"Jeff Sims run for a loss of 1 yard to the GTech 23 Jeff Sims fumbled, forced by Val Martin, recovered by GTech Jeff Sims  NC STATE Penalty, personal foul off-setting ( Yards) to the GTech 23"
