Defense,Offense,Text
Georgia Tech,NC State,"Zonovan Knight run for 5 yds for a TD GEORGIA TECH Penalty, personal foul off-setting ( Yards) to the GTech 3 (Christopher Dunn KICK)"
Georgia,Kentucky,"Stanley Williams run for no gain to the Kent 30 GEORGIA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 30"
Hawai'i,Wisconsin,"Joel Stave pass incomplete HAWAII Penalty, personal foul off-setting ( Yards) to the Wisc 19"
Western Carolina,Hawai'i,"HAWAII Penalty, personal foul off-setting ( Yards) to the Hawa 43"
Hawai'i,Utah State,"HAWAII Penalty, unsportsmanlike conduct off-setting ( Yards) to the 50 yard line"
Oregon State,Hawai'i,"HAWAII Penalty, unsportsmanlike conduct off-setting ( Yards) to the OrgSt 17"
Tulsa,Houston,"Kenneth Farrow run for a loss of 1 yard to the Houst 48 TULSA Penalty, personal foul off-setting ( Yards) to the Houst 48"
Idaho,Louisiana Monroe,"Centarius Donald run for 2 yds to the Idaho 32 IDAHO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Idaho 32"
Idaho,South Alabama,"Cody Clements run for 8 yds for a TD IDAHO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Idaho 0, (Aleem Sunanon KICK)"
Western Illinois,Illinois,"Wes Lunt pass incomplete to Ke'Shawn Vaughn, broken up by Eddy Holtschlag WESTRN ILLINOIS Penalty, unsportsmanlike conduct off-setting ( Yards) to the WIll 48"
Illinois,Northwestern,"ILLINOIS Penalty, unsportsmanlike conduct off-setting ( Yards) to the Illin 3"
Wisconsin,Illinois,"Blake Hayes punt for 35 yds, downed at the WISCONSIN 44 ILLINOIS Penalty, personal foul off-setting ( Yards) to the Wisc 44"
Illinois,Wisconsin,"Jonathan Taylor run for 19 yds to the WISCONSIN 44 for a 1ST down ILLINOIS Penalty, personal foul off-setting ( Yards) to the Illin 44 for a 1ST down"
Purdue,Indiana,"PURDUE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Ind 33"
Nebraska,Iowa,"Toren Young run for no gain to the Iowa 18 NEBRASKA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Iowa 18"
Rutgers,Iowa,"Mekhi Sargent run for a loss of 4 yards to the Iowa 4 RUTGERS Penalty, personal foul off-setting ( Yards) to the Iowa 4"
Kent State,Miami (OH),"Kyle Kramer punt for 41 yds, downed at the KENTST 16 KENT ST Penalty, kick catching interference off-setting ( Yards) to the KntSt 16"
Eastern Kentucky,Kentucky,"Patrick Towles pass complete to Jeff Badet for 36 yds for a TD EASTRN KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the EKent 0, (Miles Butler PAT MISSED)"
Northwestern,Kentucky,"NORTHWESTERN Penalty, Targeting ( Paddy Fisher ), KENTUCKY Penalty, Personal Foul, offsetting. Fisher ejected."
Southern Mississippi,Kentucky,"Sihiem King run for no gain to the Kent 39 KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 39"
Kentucky,Tennessee,"Brent Cimaglia kickoff for 65 yds , Lynn Bowden Jr. return for 33 yds to the KENTUCKY 32 TENNESSEE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 33"
Tennessee,Kentucky,"Stephen Johnson run for 12 yds to the Tenn 33 for a 1ST down TENNESSEE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tenn 33 for a 1ST down"
Kentucky,Tennessee,"Tim Jordan run for 3 yds for a TD PENALTY UT unsportsmanlike conduct off-setting, PENALTY UK unsportsmanlike conduct off-setting, NO PLAY. KENTUCKY Penalty, offside defense ( Yards) declined (Brent Cimaglia KICK)"
Missouri,Kentucky,"Lynn Bowden Jr. run for 34 yds to the KENTUCKY 34 for a 1ST down KENTUCKY Penalty, personal foul off-setting ( Yards) to the Misso 34 for a 1ST down"
Kentucky,Vanderbilt,"Keyon Brooks run for 4 yds to the Kent 13 KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 13"
UMass,Liberty,"MASSACHUSETTS Penalty, personal foul off-setting ( Yards) to the Liber 45"
UMass,Liberty,"MASSACHUSETTS Penalty, unsportsmanlike conduct off-setting ( Yards) to the Liber 48"
Liberty,NC State,"Bailey Hockman pass intercepted Cedric Stone return for 14 yds to the Liber 16 LIBERTY Penalty, personal foul off-setting ( Yards) to the Liber 16"
Louisiana Monroe,Louisiana,"Terrance Broadway run for 1 yd to the LaMon 14 UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 14"
Louisiana Monroe,Troy,"Jed Solomon kickoff for 51 yds , Alex Johnson return for no gain to the LaMon 35 TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 14"
Oklahoma,Louisiana Monroe,"OKLAHOMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 48"
Louisiana Monroe,New Mexico,"UL MONROE Penalty, personal foul off-setting ( Yards) to the LaMon 35"
Louisiana Monroe,New Mexico,"Richard McQuarley run for 3 yds to the LaMon 6 UL MONROE Penalty, personal foul off-setting ( Yards) to the LaMon 6"
Louisiana Monroe,New Mexico,"Daryl Chestnut run for 2 yds to the LaMon 4 UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 4"
Louisiana Monroe,South Alabama,"Dallas Davis pass complete to Josh Magee for 6 yds to the SAlab 39 for a 1ST down UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the SAlab 39 for a 1ST down"
Louisiana,Louisiana Monroe,"Caleb Evans run for 7 yds for a TD LOUISIANA Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaLaf 0, (Craig Ford KICK)"
Southeastern Louisiana,Louisiana Monroe,"Austin Vaughn run for 3 yds to the SELa 22 SE LOUISIANA Penalty, unsportsmanlike conduct off-setting ( Yards) to the SELa 22"
Louisiana,Louisiana Monroe,"Jacob Meeks kickoff for 65 yds for a touchback UL MONROE Penalty, illegal block off-setting ( Yards)"
Louisiana,Louisiana Monroe,"Jared Porter 35 yd FG MISSED UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaLaf 20"
Louisiana Tech,Louisiana,"Jalen Nixon pass complete to Gabe Fuselier for 2 yds to the LaLaf 20 LOUISIANA TECH Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaLaf 20"
Louisiana,Louisiana Tech,"UL LAFAYETTE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaTch 31"
Louisiana Tech,UAB,"A.J. Erdely pass complete to Donnie Lee for 9 yds to the UAB 48 UAB Penalty, personal foul off-setting ( Yards) to the UAB 48"
Louisiana Tech,UAB,"UAB Penalty, unsportsmanlike conduct off-setting ( Yards) to the UAB 11"
Louisiana Tech,UAB,"Spencer Brown run for 26 yds for a TD (Nick Vogel KICK) LOUISIANA TECH Penalty, unsportsmanlike conduct off-setting ( Yards) to the UAB 35"
Louisiana,McNeese,"Justin Pratt run for no gain to the McNSt 34 MCNEESE ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the McNSt 34"
Louisiana,Tulane,"Josh Rounds run for 7 yds to the Tulan 39 UL LAFAYETTE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tulan 39"
New Mexico State,Louisiana,"Kyle Pfau kickoff for 48 yds , Jason Huntley return for 16 yds to the ULLAFAYTTE 49 LOUISIANA Penalty, unsportsmanlike conduct off-setting ( Yards) to the NMxSt 33"
Louisiana,Texas State,"TEXAS STATE Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexSt 31"
Louisiana,Texas State,"Tyler Vitt pass complete to Anthony D. Taylor for 23 yds to the TexSt 48 for a 1ST down TEXAS STATE Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexSt 48 for a 1ST down"
Marshall,Western Kentucky,"Brandon Doughty pass complete to Tyler Higbee for 27 yds to the WESTERNKY 48 for a 1ST down WESTRN KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Marsh 48 for a 1ST down"
Western Kentucky,Marshall,"Chase Litton run for 9 yds to the WESTERNKY 43 WESTRN KENTUCKY Penalty, unsportsmanlike conduct off-setting ( Yards) to the WKent 43"
Maryland,Michigan,"MARYLAND Penalty, personal foul off-setting ( Yards) to the Mary 31"
Towson,Maryland,"Ty Johnson run for a loss of 1 yard to the Tows 44 MARYLAND Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tows 44"
Towson,Maryland,"Kasim Hill pass complete to D.J. Moore for 13 yds to the MARYLAND 48 for a 1ST down TOWSON Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tows 48 for a 1ST down"
UCF,Maryland,"UCF Penalty, personal foul off-setting ( Yards) to the Mary 30"
Temple,Maryland,"Josh Jackson pass complete to Tyler Mabry for 17 yds for a TD, (Paul Inzerillo PAT BLOCKED) TEMPLE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Mary 35"
Memphis,South Alabama,"Deonta Moore run for 5 yds to the Memph 13 for a 1ST down SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Memph 13 for a 1ST down"
South Florida,Memphis,"Adam Williams punt for 44 yds, downed at the SOUFLA 28 SOUTH FLORIDA Penalty, unsportsmanlike conduct off-setting ( Yards) to the SFla 28"
SMU,Memphis,"Brady White pass complete to Damonte Coxie for 10 yds to the SMU 48 for a 1ST down SMU Penalty, unsportsmanlike conduct off-setting ( Yards) to the SMU 48 for a 1ST down"
Tulane,Memphis,"Asa Martin run for 1 yd to the Tulan 3 TULANE Penalty, personal foul off-setting ( Yards) to the Tulan 3"
Michigan,Miami (OH),"MICHIGAN Penalty, personal foul off-setting ( Yards) to the MiaOh 25"
UMass,Miami (OH),"MASSACHUSETTS Penalty, unsportsmanlike conduct off-setting ( Yards) to the UMass 39"
Rutgers,Michigan State,"RUTGERS Penalty, unsportsmanlike conduct off-setting ( Yards) to the Rutgr 8"
Michigan State,Utah State,"Eltoro Allen run for 3 yds to the MchSt 45 MICHIGAN ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the MchSt 45"
Nebraska,Minnesota,"Mohamed Ibrahim run for 1 yd to the Neb 5 NEBRASKA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Neb 5"
Mississippi State,Tennessee,"Ty Chandler run for 6 yds to the Tenn 35 for a 1ST down MISSISSIPPI ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tenn 35 for a 1ST down"
Texas A&M,Mississippi State,"TEXAS A&M Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexAM 1"
South Carolina,Missouri,"Corey Fatony punt for 57 yds, downed at the SOCAROLINA 10 MISSOURI Penalty, unsportsmanlike conduct off-setting ( Yards) to the SCaro 10"
Tennessee,Missouri,"Corey Fatony kickoff for 45 yds , Cameron Sutton return for 17 yds to the Tenn 47 MISSOURI Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tenn 42"
Tennessee,Missouri,"Larry Rountree III run for 5 yds to the Tenn 23 TENNESSEE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tenn 23"
Missouri,South Carolina,"Ty'Son Williams run for 2 yds to the Misso 28 MISSOURI Penalty, unsportsmanlike conduct off-setting ( Yards) to the Misso 28"
Troy,Missouri,"Kelly Bryant run for 10 yds to the Troy 14 for a 1ST down TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 14 for a 1ST down"
Missouri,Vanderbilt,"MISSOURI Penalty, unsportsmanlike conduct off-setting ( Yards) to the Vandy 31"
NC State,Syracuse,"NC STATE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Syrac 38"
Syracuse,NC State,"SYRACUSE Penalty, UN off-setting ( Yards) to the Syrac 3"
NC State,Syracuse,"NC STATE Penalty, UN off-setting ( Yards) to the Syrac 33"
NC State,Wake Forest,"WAKE FOREST Penalty, offside off-setting ( Yards) to the WFrst 46"
Southern Mississippi,Nebraska,"Tommy Armstrong Jr. run for 16 yds for a TD, (Drew Brown KICK) NEBRASKA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Neb 35"
Wyoming,Nebraska,"Terrell Newby run for 5 yds to the Neb 46 WYOMING Penalty, unsportsmanlike conduct off-setting ( Yards) to the Neb 46"
Rutgers,Nebraska,"Devine Ozigbo run for 1 yd to the Rutgr 12 for a 1ST down RUTGERS Penalty, unsportsmanlike conduct off-setting ( Yards) to the Rutgr 12 for a 1ST down"
Nebraska,Purdue,"Joe Schopper punt for 39 yds, fair catch by JD Spielman at the NEBRASKA 24 PURDUE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Neb 24"
South Alabama,New Mexico State,"Parker Davidson kickoff for 58 yds , Xavier Johnson return for 17 yds to the SOUTHALA 48 NEW MEXICO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SAlab 24"
New Mexico State,Texas State,"Clayton Stewart punt for 34 yds, punt out-of-bounds at the TEXSTATE 43 NEW MEXICO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the NMxSt 43"
Alcorn State,New Mexico State,"Payton Theisler punt for 47 yds , Leishaun Ealey returns for a loss of 1 yard to the AlcSt 46 NEW MEXICO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the AlcSt 5"
New Mexico,San Diego State,"Rashaad Penny run for 4 yds to the SDSt 30 for a 1ST down NEW MEXICO Penalty, unsportsmanlike conduct off-setting ( Yards) to the SDSt 30 for a 1ST down"
New Mexico,San Diego State,"Juwan Washington run for 60 yds for a TD, (John Baron II KICK) NEW MEXICO Penalty, unsportsmanlike conduct off-setting ( Yards) to the SDSt 35"
New Mexico,Incarnate Word,"INCARNATEW Penalty, personal foul off-setting ( Yards) to the InWrd 29"
UNLV,New Mexico,"Daevon Vigilant run for 3 yds to the UNLV 20 NEW MEXICO Penalty, unsportsmanlike conduct off-setting ( Yards) to the UNLV 20"
New Mexico,San José State,"Isaiah Holiness run for no gain to the SJSt 47 SAN JOSÉ ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SJSt 47"
Virginia Tech,North Carolina,"Sam Howell pass complete to Dazz Newsome for 10 yds for a TD VIRGINIA TECH Penalty, unsportsmanlike conduct off-setting ( Yards) to the VTech 0, (Noah Ruggles KICK)"
UT San Antonio,North Texas,"Jeffrey Wilson run for 20 yds to the TexSA 1 Jeffrey Wilson fumbled, forced by Michael Egwuagu, recovered by NoTex Mason Y'Barbo for a 1ST down TEXASSAN Penalty, personal foul off-setting ( Yards) to the TexSA 1 for a 1ST down"
North Texas,Western Kentucky,"Mike White pass complete to Quin Jernighan for 20 yds to the WKent 48 for a 1ST down NORTH TEXAS Penalty, unsportsmanlike conduct off-setting ( Yards) to the WKent 48 for a 1ST down"
Incarnate Word,North Texas,"DeAndre Torrey run for 1 yd for a TD INCARNATEW Penalty, unsportsmanlike conduct off-setting ( Yards) to the InWrd 3 (Cole Hedlund KICK)"
Northern Illinois,San Diego State,"John Baron II kickoff for 64 yds , Jordan Huff return for 24 yds to the NORTHERNIL 41 SAN DIEGO ST Penalty, personal foul off-setting ( Yards) to the NoIll 25"
San Diego State,Northern Illinois,"Ryan Graham pass complete to Kenny Golladay for 49 yds for a TD NORTHERNIL Penalty, personal foul off-setting ( Yards) to the SDSt 0, (Christian Hagan KICK) NORTHERNIL Penalty, unsportsmanlike conduct (-15 Yards) to the NoIll 20"
Eastern Illinois,Northern Illinois,"Marcus Jones run for 23 yds to the EIlln 25 for a 1ST down EASTRN ILLINOIS Penalty, personal foul off-setting ( Yards) to the EIlln 25 for a 1ST down"
Purdue,Northwestern,"Justin Jackson run for 9 yds for a TD PURDUE Penalty, unsportsmanlike conduct off-setting ( Yards) to the Prdue 0, (Jack Mitchell KICK)"
Ohio,Western Michigan,"Derrick Mitchell kickoff for 65 yds for a touchback WESTRN MICHIGAN Penalty, unsportsmanlike conduct off-setting ( Yards)"
Gardner-Webb,Ohio,"Greg Windham pass complete to Sebastian Smith for 10 yds to the Ohio 43 GARDNER-WEBB Penalty, unsportsmanlike conduct off-setting ( Yards) to the Ohio 43"
South Alabama,Oklahoma State,"OKLAHOMA ST Penalty, personal foul off-setting ( Yards) to the SAlab 30"
Old Dominion,Western Kentucky,"Leon Allen run for 3 yds to the ODU 1 OLDDOMINION Penalty, unsportsmanlike conduct off-setting (NA) to the ODU 1"
UT San Antonio,Old Dominion,"UT SAN ANTONIO Penalty, personal foul off-setting ( Yards) to the TexSA 31"
Ole Miss,UT Martin,"Brett Arkelian punt for 53 yds, downed at the OLEMISS 6 TENN MARTIN Penalty, unsportsmanlike conduct off-setting ( Yards) to the Miss 6"
Vanderbilt,Ole Miss,"Jordan Ta'amu pass intercepted LaDarius Wiley return for 20 yds to the Vandy 3 VANDERBILT Penalty, unsportsmanlike conduct off-setting ( Yards) to the Vandy 34"
Oregon,Washington,"Korey Durkee punt for 52 yds , Bralon Addison returns for 11 yds to the Oregn 33 Bralon Addison fumbled, forced by Travis Feeney, recovered by Oregn Juwaan Williams  WASHINGTON Penalty, unsportsmanlike conduct off-setting ( Yards) to the Oregn 33"
Penn State,Pittsburgh,"PENN ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the 50 yard line"
Penn State,Rutgers,"Ryan Anderson punt for 38 yds, downed at the PENNST 45 RUTGERS Penalty, unsportsmanlike conduct off-setting ( Yards) to the PnSt 45"
Pittsburgh,UMass,"#5 T.Lytle pass to the right incomplete intended for #82 M.Hill thrown to the MAS47, score nullified by penalty. PENALTY Before the snap, MAS Illegal Motion PIT Pass Interference on #14 M.Williams , Offsetting penalties [NHSG]. NO PLAY (replay the down)."
Rice,Southern Mississippi,"Jack Abraham pass complete to Tim Jones for 16 yds to the SOUMISS 35 for a 1ST down RICE Penalty, face mask off-setting ( Yards) to the Rice 35 for a 1ST down"
SMU,Tulane,"Ryan Wright punt for 48 yds, fair catch by James Proche at the TULANE 27 TULANE Penalty, unsportsmanlike conduct off-setting ( Yards) to the SMU 27"
Stephen F. Austin,SMU,"Terrance Gipson run for 8 yds to the SFAus 5 SFA Penalty, personal foul off-setting ( Yards) to the SFAus 5"
San Diego State,San José State,"Blake Jurich pass incomplete to Tyler Winston SAN DIEGO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SJSt 25"
San Diego State,UNLV,"Charles Williams run for 2 yds to the UNLV 34 for a 1ST down SAN DIEGO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the UNLV 34 for a 1ST down"
San José State,Washington State,"James Williams run for 1 yd to the SJSt 33 WASHINGTON ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SJSt 33"
Texas State,South Alabama,"Diego Guajardo kickoff for 57 yds , Jah'Marae Sheread return for 22 yds to the SOUTHALA 43 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexSt 30"
South Carolina,Furman,"Hank McCloud run for no gain to the Furm 41 SOUTH CAROLINA Penalty, unsportsmanlike conduct off-setting (NA) to the Furm 41"
South Carolina,Tennessee,"SOUTH CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Tenn 36"
UMass,South Carolina,"David Williams run for 1 yd for a TD SOUTH CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the UMass 0, (Elliott Fry KICK)"
Vanderbilt,South Carolina,"Ty'Son Williams run for a loss of 3 yards to the Vandy 33 VANDERBILT Penalty, unsportsmanlike conduct off-setting ( Yards) to the Vandy 33"
Vanderbilt,South Carolina,"Luke Doty run for 2 yds to the SCaro 42 SOUTH CAROLINA Penalty, unsportsmanlike conduct off-setting ( Yards) to the SCaro 42"
South Florida,UCF,"Matthew Wright kickoff for 65 yds , Chris Barr return for 10 yds to the SFla 45 SOUTH FLORIDA Penalty, personal foul off-setting ( Yards) to the SFla 10"
South Florida,South Carolina State,"Cliff Benjamin Jr. punt for 29 yds, punt out-of-bounds at the SCSt 35 SOUTH FLORIDA Penalty, personal foul off-setting ( Yards) to the SCSt 35"
Southern Mississippi,UT San Antonio,"Jalen Rhodes run for 2 yds to the SoMis 1 SOUTHERN MISS Penalty, unsportsmanlike conduct off-setting ( Yards) to the SoMis 1"
Alcorn State,Southern Mississippi,"Steven Anderson run for 6 yds to the SoMis 30 for a 1ST down ALCORN ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SoMis 30 for a 1ST down"
Stanford,UC Davis,"UC DAVIS Penalty, personal foul off-setting ( Yards) to the UCDav 34"
Stanford,UCLA,"Joshua Kelley run for 1 yd for a TD STANFORD Penalty, personal foul off-setting ( Yards) to the Stanf 3 (JJ Molson KICK)"
Western Michigan,Syracuse,"Eric Dungey run for 8 yds to the Syrac 49 WESTRN MICHIGAN Penalty, unsportsmanlike conduct off-setting ( Yards) to the Syrac 49"
Texas A&M,Lamar,"Enrique Carmona punt for 65 yds, downed at the TEXASAM 11 TEXAS A&M Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexAM 11"
Incarnate Word,Texas State,"Tyler Jones pass incomplete to Elijah King INCARNATEW Penalty, unsportsmanlike conduct off-setting ( Yards) to the InWrd 6"
Texas Southern,Texas State,"Caleb Twyford run for 4 yds to the TexSo 33 TEXAS SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexSo 33"
West Virginia,Texas Tech,"Jett Duffey pass complete to KeSean Carter for 12 yds to the WVirg 25 for a 1ST down TEXAS TECH Penalty, personal foul off-setting ( Yards) to the WVirg 25 for a 1ST down"
Toledo,Western Michigan,"Reece Goddard pass incomplete to Leo Ekwoge TOLEDO Penalty, unsportsmanlike conduct off-setting ( Yards) to the WMich 38"
Abilene Christian,Troy,"Jordan Chunn run for 4 yds to the AblCh 5 ABIL CHRISTIAN Penalty, unsportsmanlike conduct off-setting ( Yards) to the AblCh 5"
Charleston Southern,Troy,"Jed Solomon kickoff for 65 yds for a touchback CHARLESTON SOU Penalty, unsportsmanlike conduct off-setting ( Yards)"
Troy,UMass,"Andrew Ford pass incomplete TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 33"
UMass,Troy,"Sidney Davis run for 24 yds to the UMass 7 for a 1ST down MASSACHUSETTS Penalty, unsportsmanlike conduct off-setting ( Yards) to the UMass 7 for a 1ST down"
Wake Forest,Tulane,"Glen Cuiellette pass incomplete WAKE FOREST Penalty, personal foul off-setting ( Yards) to the Tulan 48"
UMass,Maine,"Chris Ferguson pass incomplete to Drew Belcher, broken up by Tyler Hayes MASSACHUSETTS Penalty, personal foul off-setting ( Yards) to the UMass 3"
Howard,UNLV,"UNLV Penalty, unsportsmanlike conduct off-setting ( Yards) to the Howrd 6"
Vanderbilt,UNLV,"VANDERBILT Penalty, unsportsmanlike conduct off-setting ( Yards) to the Vandy 39"
Southern,UT San Antonio,"UT SAN ANTONIO Penalty, personal foul off-setting ( Yards) to the Sthrn 27"
Tennessee State,Vanderbilt,"Donaven Tennyson run for 18 yds to the VANDERBILT 37 for a 1ST down TENNESSEE ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the TenSt 37 for a 1ST down"
Murray State,Western Michigan,"Jarvion Franklin run for 5 yds to the WMich 32 for a 1ST down MURRAY ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the WMich 32 for a 1ST down"
